tamil,transliterated,colloquial
ஆரம்பகாலப் பாடல்கள் தமிழகத்திலிருந்தே வெளிவந்தன.,ārambagālap pāḍalgaḷ thamizhagathilirundhē veḷivandhaṉa.
இறுதிப்போட்டிகள் முடிந்ததுக்கு பிறகு என்.பி.ஏ.,iṟudhippōṭṭigaḷ muḍindhadhukkŭ piṟagŭ yeṉ.pi.yē.
தைரியமாக முடிவுகளை எடுக்கக்கூடியவர்.,thairiyamāga muḍivugaḷai yeḍukkakkūḍiyavar.
.,.
"பசி, ஒரு விடுகதை ஒரு தொடர்கதை, நாயகன், பாலைவன ரோஜாக்கள் எனப் பல படங்களில் நடித்தார்.","pasi, orŭ viḍugadhai orŭ thoḍargadhai, nāyagaṉ, pālaivaṉa rōjākkaḷ yeṉap pala paḍaṅgaḷil naḍithār."
இப்பக்கத்தில் காணப்படும் காப்புரிமை அறிவிப்பில் பொதுவாக மூன்று பகுதிகள் காணப்படும்.,ippakkathil kāṇappaḍum kāppurimai aṟivippil podhuvāga mūṉḏrŭ pagudhigaḷ kāṇappaḍum.
கொப்பம் போரில் முடிசூடின மன்னனுக்கும்(இரண்டாம் இராஜேந்திரன்) கூடல் சங்கமத்தில் வெற்றி பெற்ற மன்னனுக்குமிடையில்(வீரராஜேந்திரன்) 'முடி சூடியவன்' என்று கலிங்கத்துப் பரணி இம்மன்னனைப் பற்றி கூறுகிறது.,koppam pōril muḍisūḍiṉa maṉṉaṉukkum(iraṇḍām irājēndhiraṉ) kūḍal chaṅgamathil veṯṟi peṯṟa maṉṉaṉukkumiḍaiyil(vīrarājēndhiraṉ) 'muḍi chūḍiyavaṉ' yeṉḏrŭ kaliṅgathup paraṇi immaṉṉaṉaip paṯṟi kūṟugiṟadhu.
"தனது பதினேழாவது வயதில் ""மட்றிட் றிவியூ"" இதழில் வெளியான கவிதைகள் மூலம் இலக்கிய வட்டாரத்தில் அங்கீகாரம் பெற்றார்.","thaṉadhŭ padhiṉēzhāvadhŭ vayadhil ""maṭṯṟiṭ ṯṟiviyū"" idhazhil veḷiyāṉa kavidhaigaḷ mūlam ilakkiya vaṭṭārathil aṅgīgāram peṯṟār."
பெக் பேணி வளர்த்தனர்.,pek pēṇi vaḷarthaṉar.
சலீல் சௌதுரி அதில் தெளிவாக இருந்தார்.,chalīl chaudhuri adhil theḷivāga irundhār.
மடத்தில் இருக்கும் பொழுது பல பெரும் தமிழ்ப்புலவர்களைக் கண்டு கலந்துரையாடும் வாய்ப்பு கிட்டியது.,maḍathil irukkum pozhudhŭ pala perum thamizhppulavargaḷaik kaṇḍŭ kalandhuraiyāḍum vāyppŭ kiṭṭiyadhu.
"1990ல், அப்போதைய ஜனாதிபதி குலாம் இஷ்க் கானால் அங்கீகரிக்கப்பட்ட ஒரு மாயவேட்டையின் விளைவாக பூட்டோ பதவியில் இருந்து இறக்கப்பட்டதாக கூறி அது தகவல்களை அளிக்கிறது.பூட்டோ மற்றும் அவர் கணவருக்கு எதிராக 1990-92ல் 19 ஊழல் வழக்குகளைப் பதிவு செய்ய சட்ட ஆலோசகர்களுக்கு கான் 28 மில்லியன் ரூபாய் அளித்ததாக ஏஜிபி அறிக்கை கூறுகிறது.","1990l, appōdhaiya jaṉādhibadhi kulām ishk kāṉāl aṅgīgarikkappaṭṭa orŭ māyavēṭṭaiyiṉ viḷaivāga pūṭṭō padhaviyil irundhŭ iṟakkappaṭṭadhāga kūṟi adhŭ thagavalgaḷai aḷikkiṟadhu.pūṭṭō maṯṟum avar kaṇavarukkŭ yedhirāga 1990-92l 19 ūzhal vazhakkugaḷaip padhivŭ cheyya chaṭṭa ālōsagargaḷukkŭ kāṉ 28 milliyaṉ rūbāy aḷithadhāga yējibi aṟikkai kūṟugiṟadhu."
"ஒரு பேரல் என்பது 42 அமெரிக்க கேலன்கள், ஒரு கேலன் சுமார் மூணே முக்கால் லிட்டர்.","orŭ pēral yeṉbadhŭ 42 amerikka kēlaṉgaḷ, orŭ kēlaṉ chumār mūṇē mukkāl liṭṭar."
"லெவோடோபாவுக்கு பதிலாக முதல் நிலை சிகிச்சையில், 2009ம் ஆண்டின் பிற்பகுதியில் பிராமிபெக்சோல் பரிந்துரைக்கப்பட்டது.","levōḍōbāvukkŭ padhilāga mudhal nilai chigichaiyil, 2009m āṇḍiṉ piṟpagudhiyil pirāmibekchōl parindhuraikkappaṭṭadhu."
பல்லாயிரக்கணக்கான தமிழ் நூல்களையும் தாம் தேடிப் பெற்ற அரிய சுவடிகளையும் தமது வீட்டு நூலகத்தில் வைத்திருக்கிறார்.,pallāyirakkaṇakkāṉa thamizh nūlgaḷaiyum thām thēḍip peṯṟa ariya chuvaḍigaḷaiyum thamadhŭ vīṭṭŭ nūlagathil vaithirukkiṟār.
ஜல்காரிபாய் மிகுந்த பராக்கிரமத்துடன் ஆங்கிலேயப் படையுடன் சண்டையிட்டார்.,jalgāribāy migundha parākkiramathuḍaṉ āṅgilēyap paḍaiyuḍaṉ chaṇḍaiyiṭṭār.
"என்றாலும், பலகல முழுக்கருவன் உயிரிகளாகிய செம்பாசி, கடற்பூண்டு, கோழைப் பூஞ்சைகள் அடங்கிய மேலும் விரிந்த உயிரிகளுக்குப் புரோட்டாக்டிசுட்டா (""Protoctista"") எனும் திணைக்களம் ஒதுக்கப்பட்டுள்ளது.பிறர், மற்ற மரபான திணைக்களங்களுக்குள் அடக்கமுடியாத அனைத்து நுண்ணுயிரிகளையும் பருவுயிரிகளையும் சேர்த்த முழுக்கருவன் உயிரிகளைப் பரவலாகக் குறிக்க, முகிழி ( ""protist"") எனும் சொல்லைப் பயன்படுத்துகின்றனர்.","yeṉḏrālum, palagala muzhukkaruvaṉ uyirigaḷāgiya chembāsi, kaḍaṟpūṇḍu, kōzhaip pūnjaigaḷ aḍaṅgiya mēlum virindha uyirigaḷukkup purōṭṭākṭisuṭṭā (""Protoctista"") yeṉum thiṇaikkaḷam odhukkappaṭṭuḷḷadhu.piṟar, maṯṟa marabāṉa thiṇaikkaḷaṅgaḷukkuḷ aḍakkamuḍiyādha aṉaithŭ nuṇṇuyirigaḷaiyum paruvuyirigaḷaiyum chērtha muzhukkaruvaṉ uyirigaḷaip paravalāgak kuṟikka, mugizhi ( ""protist"") yeṉum chollaip payaṉbaḍuthugiṉḏraṉar."
"ஒரேயொரு கோபுரத்தைக் கொண்ட கோயில்களும், 16 கோபுரங்களைக் கொண்ட கோயில்களும் உள்ளன.","orēyorŭ kōburathaik koṇḍa kōyilgaḷum, 16 kōburaṅgaḷaik koṇḍa kōyilgaḷum uḷḷaṉa."
1821 மார்ச் மாதம் 17 ஆம் திகதியில் சுதந்திரப்பிரகடனம் மேற்கொள்ளப்பட்டது.,1821 mārch mādham 17 ām thigadhiyil chudhandhirappiragaḍaṉam mēṟkoḷḷappaṭṭadhu.
"கதை, சிறுகதை, தொடர்கதை, படக்கதை என அதன் தன்மை, வடிவங்களைக் கொண்டு வகைப்படுத்தப்படும்.","kadhai, chiṟugadhai, thoḍargadhai, paḍakkadhai yeṉa adhaṉ thaṉmai, vaḍivaṅgaḷaik koṇḍŭ vagaippaḍuthappaḍum."
"இவர் ஆங்கிலம், பிரெஞ்சு மற்றும் இஸ்பானிய மொழிகளில் எழுதும் கவிஞர்.","ivar āṅgilam, pirenjŭ maṯṟum isbāṉiya mozhigaḷil yezhudhum kaviñar."
விக்டோரியா குடியேற்றத்தில் தங்கச் சுரங்கங்கள் கண்டுபிடிக்கப்பட்டன.,vikṭōriyā kuḍiyēṯṟathil thaṅgach churaṅgaṅgaḷ kaṇḍubiḍikkappaṭṭaṉa.
கண்கள் செல்லும் வழி மனம் செல்லும்.,kaṇgaḷ chellum vazhi maṉam chellum.
குளிர் பிரதேச நாடுகளில் வீட்டு சூழ்நிலையை பேண இந்த சூழ்நிலை கட்டுப்பாடு கருவிகள் அத்தியாவசியமாகின்றன.,kuḷir piradhēsa nāḍugaḷil vīṭṭŭ chūzhnilaiyai pēṇa indha chūzhnilai kaṭṭuppāḍŭ karuvigaḷ athiyāvasiyamāgiṉḏraṉa.
"2006 டிசம்பர் 25 அன்று கோ, சோயூஸ் டிஎம்ஏ-12 விண்கலத்தில் விண்ணோடுவதற்கான தென்கொரியாவின் முதல் விண்ணோடிக்கான தேர்வுகளில் இறுதிச் சுற்றுக்கு தெரிவானார்.","2006 ṭisambar 25 aṉḏrŭ kō, chōyūs ṭiyemyē-12 viṇgalathil viṇṇōḍuvadhaṟkāṉa theṉgoriyāviṉ mudhal viṇṇōḍikkāṉa thērvugaḷil iṟudhich chuṯṟukkŭ therivāṉār."
கே.,kē.
"2005 ஆம் ஆண்டில், உயிரியல் அடிப்படையிலான உற்பத்தித்திறன் கொண்ட நிலப்பரப்பு சராசரியாக ஒருவருக்கு 2.1 உலக எக்டேர் (உ.எக்.)","2005 ām āṇḍil, uyiriyal aḍippaḍaiyilāṉa uṟpathithiṟaṉ koṇḍa nilapparappŭ charāsariyāga oruvarukkŭ 2.1 ulaga yekṭēr (u.yek.)"
"அதே நேரத்தில் அவரது குடும்பத்தால் திருமணத்திற்காக பெண் பார்க்க வேண்டா வெறுப்பாபக செல்லும் பார்திபன், அங்கே சத்யா என்னும் ஒரு பெண்ணைப் பார்க்கிறார்.","adhē nērathil avaradhŭ kuḍumbathāl thirumaṇathiṟkāga peṇ pārkka vēṇḍā veṟuppābaga chellum pārdhibaṉ, aṅgē chathyā yeṉṉum orŭ peṇṇaip pārkkiṟār."
"அதற்குரிய காரணம், ஒரு விண் தூக்கிக்குப் பயன்படுத்தப்படும் கம்பி வடங்கள் அறுந்துவிடுவன என்பது தான்.","adhaṟkuriya kāraṇam, orŭ viṇ thūkkikkup payaṉbaḍuthappaḍum kambi vaḍaṅgaḷ aṟundhuviḍuvaṉa yeṉbadhŭ thāṉ."
இவை முதலில் கூட்டை விட்டு வெளியில் சென்று மலர்களின் உள்ளே இருக்கும் மலரின் மதுவை(nectar) உறிஞ்சி உட்கொள்கின்றன.,ivai mudhalil kūṭṭai viṭṭŭ veḷiyil cheṉḏrŭ malargaḷiṉ uḷḷē irukkum malariṉ madhuvai(nectar) uṟinji uṭkoḷgiṉḏraṉa.
இதன் தலைமையிடம் கொழும்பில் இருந்தது.,idhaṉ thalaimaiyiḍam kozhumbil irundhadhu.
அவை நம்மைபோல் நுரையீரலைக் கொண்டிருப்பதால் எப்பொழுதெல்லாம் சுவாசிக்க வேண்டுமோ அப்பொழுதெல்லாம் நீரின் மேற்பரப்புக்கு வந்து காற்றை அதன் மூக்கு வழியாக உள்ளிழுத்துச் செல்லும்.,avai nammaibōl nuraiyīralaik koṇḍiruppadhāl yeppozhudhellām chuvāsikka vēṇḍumō appozhudhellām nīriṉ mēṟparappukkŭ vandhŭ kāṯṟai adhaṉ mūkkŭ vazhiyāga uḷḷizhuthuch chellum.
பெரும்பாலான மழைவீழ்ச்சி தென்மேற்கு பருவக்காற்று மூலம் கிடைக்கிறது.,perumbālāṉa mazhaivīzhchi theṉmēṟkŭ paruvakkāṯṟŭ mūlam kiḍaikkiṟadhu.
"எனவே பிரிக்கப்படாத பின்புறம் கொண்ட முந்தியகால அட்டைகள், ""பிரிக்கப்படாத பின்புற"" அட்டைகள் எனப்படுகின்றன.","yeṉavē pirikkappaḍādha piṉbuṟam koṇḍa mundhiyagāla aṭṭaigaḷ, ""pirikkappaḍādha piṉbuṟa"" aṭṭaigaḷ yeṉappaḍugiṉḏraṉa."
"தன் மனைவியிடம் தான் ஒரு புத்தகம் திருடி வந்ததைப் பற்றிச் சொல்லி, அதில் உள்ள வரிகள் அவன் வாழ்க்கையைப் புரிந்துகொள்வதற்கு நெருக்கமாக உள்ளதாகச் சொல்கிறான்.","thaṉ maṉaiviyiḍam thāṉ orŭ puthagam thiruḍi vandhadhaip paṯṟich cholli, adhil uḷḷa varigaḷ avaṉ vāzhkkaiyaip purindhugoḷvadhaṟkŭ nerukkamāga uḷḷadhāgach cholgiṟāṉ."
ஒரு நெம்புகோலின் மேல் அளிக்கப்பட்ட விசை மற்றும் அக்கோலின் இயங்குபுள்ளியிலிருந்தான அதன் தொலைவு இவற்றின் பெருக்கலே முறுக்கு விசையாகும்.,orŭ nembugōliṉ mēl aḷikkappaṭṭa visai maṯṟum akkōliṉ iyaṅgubuḷḷiyilirundhāṉa adhaṉ tholaivŭ ivaṯṟiṉ perukkalē muṟukkŭ visaiyāgum.
"இது 3.83 சகிமீ பரப்பும், 15 வார்டுகளும், 59 தெருக்களும் கொண்ட இப்பேரூராட்சியானது பரமக்குடி (சட்டமன்றத் தொகுதி)க்கும், இராமநாதபுரம் மக்களவைத் தொகுதிக்கும் உட்பட்டது.","idhŭ 3.83 chagimī parappum, 15 vārḍugaḷum, 59 therukkaḷum koṇḍa ippērūrāṭchiyāṉadhŭ paramakkuḍi (chaṭṭamaṉḏrath thogudhi)kkum, irāmanādhaburam makkaḷavaith thogudhikkum uṭpaṭṭadhu."
திருமீயச்சூர் ஸ்ரீலலிதா சஹஸ்ரநாமம் தோன்றிய திருத்தலம்.,thirumīyachūr srīlalidhā chahasranāmam thōṉḏriya thiruthalam.
"ஸ்ரீநிவாசன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் தேங்காய் ஸ்ரீநிவாசன், சுஜாதா மற்றும் பலரும் நடித்துள்ளனர்.","srīnivāsaṉ iyakkathil veḷivandha ithiraippaḍathil thēṅgāy srīnivāsaṉ, chujādhā maṯṟum palarum naḍithuḷḷaṉar."
சில வேளைகளில் மக்காச்சோள தாவரங்களில் சடுதி மாற்றம் தென்படுகின்றன.,chila vēḷaigaḷil makkāchōḷa thāvaraṅgaḷil chaḍudhi māṯṟam theṉbaḍugiṉḏraṉa.
"கிரஹாம் ""அணைத்து உணர்ச்சிகளும், ஊக்கமிகுதியினால் ஏற்படும் உணர்வின் தொடர்ச்சியாகும்"" என விவரிக்கிறார்.","kirahām ""aṇaithŭ uṇarchigaḷum, ūkkamigudhiyiṉāl yēṟpaḍum uṇarviṉ thoḍarchiyāgum"" yeṉa vivarikkiṟār."
"புதுக்கோட்டையில் இருந்து அன்னவாசல் செல்லும் வழியில் சுமார் 16 கிலோ மீட்டரில் அமைந்த இவ்விடத்தை தமிழக அரசும், தொல்லியல் துறையும் பாதுகாத்து வருகிறது.","pudhukkōṭṭaiyil irundhŭ aṉṉavāsal chellum vazhiyil chumār 16 kilō mīṭṭaril amaindha ivviḍathai thamizhaga arasum, tholliyal thuṟaiyum pādhugāthŭ varugiṟadhu."
கூம்பு செல்கள் அவற்றின் பணிகளுக்கேற்ப மனிதர்களில் மூன்று வேறுபட்ட வகைகளாக கானப்படகின்றன.,kūmbŭ chelgaḷ avaṯṟiṉ paṇigaḷukkēṟpa maṉidhargaḷil mūṉḏrŭ vēṟubaṭṭa vagaigaḷāga kāṉappaḍagiṉḏraṉa.
"இரண்டு துண்டுகளாக அமைந்துள்ள இப்பிரிவின் தெற்கிலும், கிழக்கிலும் கோறளைப்பற்று பிரதேசச் செயலாளர் பிரிவும், மேற்கிலும், வடக்கில் ஒரு பகுதியிலும் பொலநறுவை மாவட்டமும்; வடக்கின் எஞ்சிய பகுதியில் கோறளைப்பற்று வடக்கு பிரதேசச் செயலாளர் பிரிவும்; எல்லைகளாக உள்ளன.","iraṇḍŭ thuṇḍugaḷāga amaindhuḷḷa ippiriviṉ theṟkilum, kizhakkilum kōṟaḷaippaṯṟŭ piradhēsach cheyalāḷar pirivum, mēṟkilum, vaḍakkil orŭ pagudhiyilum polanaṟuvai māvaṭṭamum; vaḍakkiṉ yenjiya pagudhiyil kōṟaḷaippaṯṟŭ vaḍakkŭ piradhēsach cheyalāḷar pirivum; yellaigaḷāga uḷḷaṉa."
என்ற சொல்லையே பயன்படுத்துகிறார்.,yeṉḏra chollaiyē payaṉbaḍuthugiṟār.
மகம் கூர்மையாகவும் கட்டுப்பாடு உடையவராகவும் கருதப்பட்டார் மற்றும் ஆட்சியை தனது மகன் மூலம் நடத்த முடியும் என்று நம்பினார்.,magam kūrmaiyāgavum kaṭṭuppāḍŭ uḍaiyavarāgavum karudhappaṭṭār maṯṟum āṭchiyai thaṉadhŭ magaṉ mūlam naḍatha muḍiyum yeṉḏrŭ nambiṉār.
கருவறை கோஷ்டத்தில் தட்சிணாமூர்த்தி மட்டும் உள்ளார்.,karuvaṟai kōshḍathil thaṭchiṇāmūrthi maṭṭum uḷḷār.
இது திருநெல்வேலி மாவட்டத்தில் உள்ள பாபநாசம் என்ற சிற்றூரில் உள்ளது.,idhŭ thirunelvēli māvaṭṭathil uḷḷa pābanāsam yeṉḏra chiṯṟūril uḷḷadhu.
இவற்றை எதிர்ப்பவர்கள் அகில வரிகளை ஆதாரம் காட்டுகிறார்கள்.,ivaṯṟai yedhirppavargaḷ agila varigaḷai ādhāram kāṭṭugiṟārgaḷ.
முதலில் கோட்டேயிலிருந்த கிறிஸ்தவக் கல்லூரியிலும் பின்னர் கொழும்பு அக்கடமியிலும் பயின்றார்.,mudhalil kōṭṭēyilirundha kiṟisdhavak kallūriyilum piṉṉar kozhumbŭ akkaḍamiyilum payiṉḏrār.
அவர்களின் கிளர்ச்சியை அடக்க சுல்தான் புரூக்கின் உதவியை நாடினார்.,avargaḷiṉ kiḷarchiyai aḍakka chuldhāṉ purūkkiṉ udhaviyai nāḍiṉār.
"தவிரவும், தனிப்பட்டவர்களின் திருமணம், பூப்புனித நீராட்டுப் போன்ற நிகழ்ச்சிகளிலும், சமய சார்பற்ற பல பொது நிகழ்வுகளிலும் நாகசுவரம் சிறப்பிடம் பெறுகின்றது.","thaviravum, thaṉippaṭṭavargaḷiṉ thirumaṇam, pūppuṉidha nīrāṭṭup pōṉḏra nigazhchigaḷilum, chamaya chārbaṯṟa pala podhŭ nigazhvugaḷilum nāgasuvaram chiṟappiḍam peṟugiṉḏradhu."
நாட்டின் வடக்கில் ஒய்சாளர்களின் செல்வாக்கு உயர்ந்தது.,nāṭṭiṉ vaḍakkil oysāḷargaḷiṉ chelvākkŭ uyarndhadhu.
"சோமசுந்தர பாரதியார் தொல்காப்பியத்தின் பொருள் இலக்கணப்பகுதியில் உள்ள அகத்திணை, புறத்திணை, மெய்ப்பாட்டியல் ஆகிய மூன்று இயல்களுக்கும் முழுமையாக உரை எழுதியிருக்கிறார்.","chōmasundhara pāradhiyār tholgāppiyathiṉ poruḷ ilakkaṇappagudhiyil uḷḷa agathiṇai, puṟathiṇai, meyppāṭṭiyal āgiya mūṉḏrŭ iyalgaḷukkum muzhumaiyāga urai yezhudhiyirukkiṟār."
இந்நகரம் சுற்றுலாப் பயணிகளில் கவனத்தைப் பெற்ற இடங்களில் ஒன்றாகும்.,innagaram chuṯṟulāp payaṇigaḷil kavaṉathaip peṯṟa iḍaṅgaḷil oṉḏrāgum.
பின்பு அவனுடைய உதவியின் மூலம் தமிழ் நாட்டில் இஸ்லாம் மதத்தை பரப்பினான்.,piṉbŭ avaṉuḍaiya udhaviyiṉ mūlam thamizh nāṭṭil islām madhathai parappiṉāṉ.
"இவர் எழுதிய ""நான் கொலை செய்த பெண்கள்"" என்ற புத்தகத்திற்கு 2008 ஆம் ஆண்டுக்கான சிங்கப்பூர் இலக்கிய விருது (தமிழ்) வழங்கப்பட்டது.","ivar yezhudhiya ""nāṉ kolai cheydha peṇgaḷ"" yeṉḏra puthagathiṟkŭ 2008 ām āṇḍukkāṉa chiṅgappūr ilakkiya virudhŭ (thamizh) vazhaṅgappaṭṭadhu."
"பல்லடத்தின் அருகில் பார்க் கலை மற்றும் அறிவியல் கல்லுரி, தொழில்முறை கல்வி அறக்கட்டளையின் பொறியியல் கல்லுரி அமைந்துள்ளது.","pallaḍathiṉ arugil pārk kalai maṯṟum aṟiviyal kalluri, thozhilmuṟai kalvi aṟakkaṭṭaḷaiyiṉ poṟiyiyal kalluri amaindhuḷḷadhu."
"கிருஷ்ணமூர்த்தி, சேதுராமன், வி.","kirushṇamūrthi, chēdhurāmaṉ, vi."
ப.,pa.
இதன் மூலம் அந்தப் பகுதிகளில் உள்ள மக்கள் எச்சரிக்கை செய்யப்பட்டு வெளியேற்றப்படுகின்றனர்.,idhaṉ mūlam andhap pagudhigaḷil uḷḷa makkaḷ yecharikkai cheyyappaṭṭŭ veḷiyēṯṟappaḍugiṉḏraṉar.
அன்றிலிருந்து இப்பகுதியில் கடலலைகள் அடங்கி சப்தமில்லாமல் போய்விட்டது.,aṉḏrilirundhŭ ippagudhiyil kaḍalalaigaḷ aḍaṅgi chapthamillāmal pōyviṭṭadhu.
இக்கருத்து 1992ல் பாபர் மசூதி இடிக்கப்பட்டபோது அப்போதைய பிரதமராக இருந்த திரு.பி.வி.நரசிம்மராவ் அவர்களை தாக்கி பேசியதாகவே கருதப்பட்டது.,ikkaruthŭ 1992l pābar masūdhi iḍikkappaṭṭabōdhŭ appōdhaiya piradhamarāga irundha thiru.pi.vi.narasimmarāv avargaḷai thākki pēsiyadhāgavē karudhappaṭṭadhu.
"இதன் காரணமாக விழாக்கள், நிகழ்ச்சிகளில் பறை முக்கிய இடம்பெற்று வருகிறது.","idhaṉ kāraṇamāga vizhākkaḷ, nigazhchigaḷil paṟai mukkiya iḍambeṯṟŭ varugiṟadhu."
"38,852 சதுர கிலோ மீட்டர் பரப்பளவு கொண்ட இம்மாநிலத்தின் கிழக்கே மேற்கு தொடர்ச்சி மலைகள்; மேற்கில் அரபிக் கடல்; தென்கிழக்கில் தமிழ்நாடு; வடகிழக்கில் கர்நாடகம் எல்லைகளாக அமைந்துள்ளது.","38,852 chadhura kilō mīṭṭar parappaḷavŭ koṇḍa immānilathiṉ kizhakkē mēṟkŭ thoḍarchi malaigaḷ; mēṟkil arabik kaḍal; theṉgizhakkil thamizhnāḍu; vaḍagizhakkil karnāḍagam yellaigaḷāga amaindhuḷḷadhu."
இச் சொத்துக்களின் வருமானத்திலிருந்து 1993 ஆம் ஆண்டிலிருந்து இரண்டு ஆண்டுகளுக்கு ஒருமுறை ஸ்கொக் பரிசுகள் வழங்கப்படுகின்றன.,ich chothukkaḷiṉ varumāṉathilirundhŭ 1993 ām āṇḍilirundhŭ iraṇḍŭ āṇḍugaḷukkŭ orumuṟai sgok parisugaḷ vazhaṅgappaḍugiṉḏraṉa.
அந்நேரம் சூறாவளியின் பட்டைகள் Lesser Antillesக்கு மேலாக காணப்பட்டன.,annēram chūṟāvaḷiyiṉ paṭṭaigaḷ Lesser Antilleskkŭ mēlāga kāṇappaṭṭaṉa.
இரா.வும் காதலிக்கத் தொடங்கினர்.,irā.vum kādhalikkath thoḍaṅgiṉar.
கியுபாவில் முதலைகள் ஊறுகாய் வடிவில் உட்கொள்ளபடுகின்றன.,kiyubāvil mudhalaigaḷ ūṟugāy vaḍivil uṭkoḷḷabaḍugiṉḏraṉa.
வழியில் தளபதி அனுப்பிய ஆட்களைப் பந்தாடிவிட்டு யார் அனுப்பியது என்று கேட்டுத் தெரிந்து கொள்கிறார்.,vazhiyil thaḷabadhi aṉuppiya āṭkaḷaip pandhāḍiviṭṭŭ yār aṉuppiyadhŭ yeṉḏrŭ kēṭṭuth therindhŭ koḷgiṟār.
என்றார் அவர்.,yeṉḏrār avar.
காமராஜர் அறியவியலாமைக் கொள்கை கொண்டவர்.,kāmarājar aṟiyaviyalāmaik koḷgai koṇḍavar.
"சின்னம்மையின் குறிப்பிடத்தக்க கொப்புளங்களில் அதிகமான வைரஸ் சார்ந்த வேதியல் வினையூக்கிகள் இருப்பதாகக் கண்டறியப்பட்டது; ஆபத்து குறைவாக இருந்தாலும், இப்படிப்பட்ட கொப்புளங்களை நேரடியாகத் தொடுதலின் காரணத்தினாலும் வைரஸ் சார்ந்த நோய்த் தொற்றுப் பரவ வாய்ப்பிருக்கிறது.","chiṉṉammaiyiṉ kuṟippiḍathakka koppuḷaṅgaḷil adhigamāṉa vairas chārndha vēdhiyal viṉaiyūkkigaḷ iruppadhāgak kaṇḍaṟiyappaṭṭadhu; ābathŭ kuṟaivāga irundhālum, ippaḍippaṭṭa koppuḷaṅgaḷai nēraḍiyāgath thoḍudhaliṉ kāraṇathiṉālum vairas chārndha nōyth thoṯṟup parava vāyppirukkiṟadhu."
இரவில் இந்த சிலையின் மீது முழுவதுமாக சந்தனம் பூசப்பட்டு (சந்தனக்காப்பு) காலையில் விசுவரூப தரிசனம் செய்யும் அனைத்து பக்தர்களுக்கும் சிறு வில்லை பிரசாதமாக வழங்கப்படுகிறது இது மிகச்சிறந்த மருந்தாக கருதப்படுகிறது.,iravil indha chilaiyiṉ mīdhŭ muzhuvadhumāga chandhaṉam pūsappaṭṭŭ (chandhaṉakkāppu) kālaiyil visuvarūba tharisaṉam cheyyum aṉaithŭ pakthargaḷukkum chiṟŭ villai pirasādhamāga vazhaṅgappaḍugiṟadhŭ idhŭ migachiṟandha marundhāga karudhappaḍugiṟadhu.
இதன் பழைய பெயர் மயிலணி ஆகும்.,idhaṉ pazhaiya peyar mayilaṇi āgum.
ஆனால் இதுவே பிரதான உணவாகப் பரிமாறப்படும் சந்தர்ப்பங்களும் அதிகமாகும்.,āṉāl idhuvē piradhāṉa uṇavāgap parimāṟappaḍum chandharppaṅgaḷum adhigamāgum.
இவை சிறு விலங்குகளை உணவாகக் கொள்கின்றன.,ivai chiṟŭ vilaṅgugaḷai uṇavāgak koḷgiṉḏraṉa.
"பொருட்களின் பயிற்சி, கொள்கை மற்றும் பயன்பாடு ஆகியற்றின் பேராசிரியரான நியூகாசில் பல்கலைக்கழகத்தின் பீட்டர் ஆன்டர்சன் ""இது ஒரு வகை குறிப்புகள்.","poruṭkaḷiṉ payiṟchi, koḷgai maṯṟum payaṉbāḍŭ āgiyaṯṟiṉ pērāsiriyarāṉa niyūgāsil palgalaikkazhagathiṉ pīṭṭar āṉḍarsaṉ ""idhŭ orŭ vagai kuṟippugaḷ."
இந்த தர்ம சக்கரம் தர்மத்தை குறிக்கிறது.,indha tharma chakkaram tharmathai kuṟikkiṟadhu.
!,!
"படத் தயாரிப்புகளுக்கு பணம் தேவை என்பதால், தனது சகோதரர் பரமசிவம் வேலை செய்யும் கடையில் திருடுகிறார்.","paḍath thayārippugaḷukkŭ paṇam thēvai yeṉbadhāl, thaṉadhŭ chagōdharar paramasivam vēlai cheyyum kaḍaiyil thiruḍugiṟār."
"கல்யாணசுந்தரனார், பிள்ளையவர்களின் மாணாக்கராகும் பேறு பெற்றார்.","kalyāṇasundharaṉār, piḷḷaiyavargaḷiṉ māṇākkarāgum pēṟŭ peṯṟār."
"பின்னர் தெல்லிப்பளை ஒன்றியக் கல்லூரி, பரி.","piṉṉar thellippaḷai oṉḏriyak kallūri, pari."
ஆதலால் தன் மைந்தனுக்கு உடைத்தோலும் சுரிகையும் அளித்து வேடுவ குல முதலியாக்கினார்.,ādhalāl thaṉ maindhaṉukkŭ uḍaithōlum churigaiyum aḷithŭ vēḍuva kula mudhaliyākkiṉār.
இதனால் அவர்களது திருமணம் வெற்றிகரமாக முடிந்தது.,idhaṉāl avargaḷadhŭ thirumaṇam veṯṟigaramāga muḍindhadhu.
இவ் வசனங்கள் இயற்கை வெறும் சடமல்ல: அது அல்லாஹ்வை தஸ்பீஹ் செய்து வருவதுடன் அல்லாஹ்வின் ஆற்றல்களையும் .அத்தாட்சிகளையும் காட்டவல்லது.என்பதையும் விளக்குவதாக உள்ளன.,iv vasaṉaṅgaḷ iyaṟkai veṟum chaḍamalla: adhŭ allāhvai thasbīh cheydhŭ varuvadhuḍaṉ allāhviṉ āṯṟalgaḷaiyum .athāṭchigaḷaiyum kāṭṭavalladhu.yeṉbadhaiyum viḷakkuvadhāga uḷḷaṉa.
