english,tamil,transliterated,colloquial: annotator 1,colloquial: annotator 2
He also had to read the Marxian texts.,மார்க்சிய நூல்களையும் அவர் படிக்க நேர்ந்தது.,mārkchiya nūlgaḷaiyum avar paḍikka nērndhadhu.,markchiya puthangankale avaru padikkara maadhiri achi,marktchiya puthangankalum avaru padikkura maadhiri achu
Element means organ.,அங்கம் என்பதற்கு உறுப்பு எனப் பொருள்.,aṅgam yeṉbadhaṟkŭ uṟuppŭ yeṉap poruḷ.,angam appadeena uruppu-nu arththam,angam appadeena uruppu-nu arththam
His son Ramanathan was born during that time.,அக்காலப்பகுதியில் அவரது மகன் இராமநாதன் பிறந்தார்.,akkālappagudhiyil avaradhŭ magaṉ irāmanādhaṉ piṟandhār.,andha nerathule avarakku magan ramanaathan poranthaar,andha nerathule avarakku magan ramanaathan poranthaaru
He also affected him by avoiding seizures.,வலிப்பு தவிர்த்து மூலமும் அவரை பாதித்தது.,valippŭ thavirthŭ mūlamum avarai pādhithadhu.,valippu mattumillaame moolanoyum avare paathichchathu,valippu illaame moolamum avare baathichchathu
He has bought the Black Belt in Karate.,அவர் கராத்தேவில் பிளாக் பெல்ட் வாங்கியுள்ளார்.,avar karāthēvil piḷāk pelṭ vāṅgiyuḷḷār.,avaru karathevule karuppu belt vangiirukkaar,avaru karathele black belt vangiirukkaaruu
There are also separate lodges for women now.,இப்பொழுது பெண்களுக்கான தனி லாட்ஜுகளும் இருக்கின்றன.,ippozhudhŭ peṇgaḷukkāṉa thaṉi lāṭjugaḷum irukkiṉḏraṉa.,ippoellam  ponnungalukku thaniye viduthi irukku,ippo ellam ponnungalukku thaniye hostel irukku
Cook was also the commander of the sea.,கடல் பயணத்தின்போது தளபதியாகவும் ஆக்கப்பட்டார் குக்.,kaḍal payaṇathiṉbōdhŭ thaḷabadhiyāgavum ākkappaṭṭār kuk.,kadal payanathule thalapathi aanaar cook,kadal payanathule thalapathi aanaaru cook
The first immigrants were from South India.,முதலாவது குடியேற்றவாசிகள் தென் இந்தியாவிலிருந்து வந்தவர்களாவார்.,mudhalāvadhŭ kuḍiyēṯṟavāsigaḷ theṉ indhiyāvilirundhŭ vandhavargaḷāvār.,modalle kudivandhavange thenindiayar,modalle kudivandhavange thenindiayar dhan
There is also a festival committee.,அதற்கென மணிவிழாக் குழு ஒன்றும் அமைத்துள்ளனர்.,adhaṟkeṉa maṇivizhāk kuzhŭ oṉḏrum amaithuḷḷaṉar.,athukkunnu manivizhakkuzhu onnu vachirukkanga,athukkunnu manivizhaakkuzhu onnu vachirukkanga
The rest of the cost is responsible for the Tamil Nadu government.,மீதமான செலவை தமிழ்நாடு அரசு பொறுப்பேற்கும்.,mīdhamāṉa chelavai thamizhnāḍŭ arasŭ poṟuppēṟkum.,micha selave thamizhnaadu arasu yethukkum,midhi selave thamizhnaadu goverment paaththukkum
North India is mostly cultivated in the hills.,வட இந்தியாவில் மலைப்பகுதிகளில் அதிகம் பயிர்செய்யப்படுகிறது.,vaḍa indhiyāvil malaippagudhigaḷil adhigam payirseyyappaḍugiṟadhu.,vada indiavule malaippaguthuyile neraiye payir seyyaraanga,vada indiale malaippaguthiyile neraiye payir seyyaraanga
This is their first Samar.,இது அவர்களது முதலாவது சமர் ஆகும்.,idhŭ avargaḷadhŭ mudhalāvadhŭ chamar āgum.,idhu avangaloda modhal sandai,idhu avangaloda modhalaavadhu sandai
The elephant's eye has a little vision.,யானையின் கண் சற்று கிட்டப்பார்வை கொண்டது.,yāṉaiyiṉ kaṇ chaṯṟŭ kiṭṭappārvai koṇḍadhu.,yanaiyoda kannukku kittappparvai,yanaiy-ku kannu koncham kittappaarvai
Murugan looks here with the Sangu wheel.,முருகன் இங்கு சங்கு சக்கரத்துடன் காட்சியளிக்கிறார்.,murugaṉ iṅgŭ chaṅgŭ chakkarathuḍaṉ kāṭchiyaḷikkiṟār.,murugapperumaan inge sangu sakkarathoda kaatchitharaar,murugan inge sangu sakkarathoda theriyuraaru
The nature of the material varies to each level.,பொருட்களின் தன்மை ஒவ்வொரு நிலைக்கும் மாறுபடும்.,poruṭkaḷiṉ thaṉmai ovvorŭ nilaikkum māṟubaḍum.,poruloda thanmai ovvoru nerathukkum veramadhiri irukkum,poruloda thanmai ovvoru time-um maarite irukkum
It was unexpectedly sticking to Jerry's head.,அது எதிர்பாராதவிதமாக ஜெர்ரியின் தலையில் ஒட்டிக்கொண்டது.,adhŭ yedhirbārādhavidhamāga jerriyiṉ thalaiyil oṭṭikkoṇḍadhu.,adhu ethipaaradhavidhamaa jerry-yoda thalaiyile ottikichi,adhu ethir paakadha vidhamaa jerry-yoda thalaile ottikichu
The information about the language is not known.,இம்மொழியை பற்றிய தகவல்கள் பெரிதாக தெரியாது.,immozhiyai paṯṟiya thagavalgaḷ peridhāga theriyādhu.,indha mozhiyeppathi visayam ethuvum perusaa theriyadhu,indha mozhi yeppadinu ethuvum perusaa theriyadhu
Most mammals have four feet.,பெரும்பாலான பாலூட்டிகள் நான்கு கால்களைக் கொண்டவை.,perumbālāṉa pālūṭṭigaḷ nāṉgŭ kālgaḷaik koṇḍavai.,neraiye paalootingalukku naalu kaalu,neraiye paalootingalukku naalu kaalu
He served as the last chief governor of India.,இந்தியாவின் கடைசித் தலைமை ஆளுநராகப் பணியாற்றியவர்.,indhiyāviṉ kaḍaisith thalaimai āḷunarāgap paṇiyāṯṟiyavar.,indiavoda kadaisi aalunara vele senjavaar,india-oda kadaisi governor-aa velai senjavaaru
This is the name of his artistic life.,இப்பெயரே இவரது கலை வாழ்வில் நிலைத்தது.,ippeyarē ivaradhŭ kalai vāzhvil nilaithadhu.,indhapere avaroda kalai vazhkkaiyile ninnuchi,indha peru avaroda kalai vazhkkaiyile irundhuchi
Salil was clear in it.,சலீல் அதில் தெளிவாக இருந்தார்.,chalīl adhil theḷivāga irundhār.,saleel adhulle  thelivaa irundhaar,saleel adhulle thelivaa irundhaaru
The way to the eyes will go.,கண்கள் செல்லும் வழி மனம் செல்லும்.,kaṇgaḷ chellum vazhi maṉam chellum.,kannu pora pakkam manasu povum,kannu pora pakkam manasu-um povum
"In the north of the country, the influence of the Osyans rose.",நாட்டின் வடக்கில் ஒய்சாளர்களின் செல்வாக்கு உயர்ந்தது.,nāṭṭiṉ vaḍakkil oysāḷargaḷiṉ chelvākkŭ uyarndhadhu.,natoda vadakkupakkam oysaalarkaloda selvaakku adhigamaachu,nattoda vadakku pakkam oysaalarkaloda selvaakku adhigamaachu
Its old name is peacock.,இதன் பழைய பெயர் மயிலணி ஆகும்.,idhaṉ pazhaiya peyar mayilaṇi āgum.,idoda pazhaiye peru mayilani,idhoda pazhaiye peru mayilani
These feed on small animals.,இவை சிறு விலங்குகளை உணவாகக் கொள்கின்றன.,ivai chiṟŭ vilaṅgugaḷai uṇavāgak koḷgiṉḏraṉa.,idunga sinna vilangungalai saapidum,idhulam sinna vilangungalai saapidunga
This Dharma Chakra refers to Dharma.,இந்த தர்ம சக்கரம் தர்மத்தை குறிக்கிறது.,indha tharma chakkaram tharmathai kuṟikkiṟadhu.,indha dharamachakkaram dharmaththai unarththum,indha dharamachakkaram dharmaththai kurikum
Thus their marriage ended successfully.,இதனால் அவர்களது திருமணம் வெற்றிகரமாக முடிந்தது.,idhaṉāl avargaḷadhŭ thirumaṇam veṯṟigaramāga muḍindhadhu.,idhanale avange kalyaanam nallapadiyaa mudinjadhu,idhanale avange kalyaanam nallapadiyaa aachu
Kuberan is the guard of the north direction.,குபேரன் வடக்கு திசையின் காவலர் ஆவார்.,kubēraṉ vaḍakkŭ thisaiyiṉ kāvalar āvār.,kuberan vadakkuthisaiyoda kavalkaaran,kuberan vadakku pakka kavalkaaran
Each temple connects the path to the steps.,ஒவ்வொரு கோயிலையும் படிகளாலான பாதை இணைக்கிறது.,ovvorŭ kōyilaiyum paḍigaḷālāṉa pādhai iṇaikkiṟadhu.,ovvoru koyilaiyum padikkattu vazhiye serkkudhu,ovvoru koyilaiyum padikkattu vazhiye irukku
There are no such restrictions in the Indian psalm.,இந்திய சங்கீதத்தில் இதுபோன்ற கட்டுப்பாடுகள் இல்லை.,indhiya chaṅgīdhathil idhubōṉḏra kaṭṭuppāḍugaḷ illai.,indhiye sangeedhaththile idhumaadhiri kattppaadu ille,india sangeedhaththile idhu maadhiri kattppaadu ille
These are vegetarianism.,இம்மக்கள் சைவ உணவுப் பழக்கம் கொண்டோர்.,immakkaḷ chaiva uṇavup pazhakkam koṇḍōr.,indhamakkal saive saappaadu pazhakkam ullavanga,indhamakkal saivam saappaduravanga
"Many Espeans were born in the Philippines (""Cryolo"").","பல எசுப்பானியர்கள் பிலிப்பைன்சில் பிறந்தனர் (""கிரியொல்லோ"").","pala yesuppāṉiyargaḷ pilippaiṉsil piṟandhaṉar (""kiriyollō"").",neraiye yasuppaaninga philippinesle porandhaanga,neraiye yasuppaaninga philippinesle porandhavanga
Chinnappa had great interest in music.,சின்னப்பாவுக்கு இசையில் பெரும் ஆர்வம் இருந்தது.,chiṉṉappāvukkŭ isaiyil perum ārvam irundhadhu.,sinnappavukku isaiyile romba naattam irundhuchu,sinnappavukku isaiyile romba interest irundhuchu
The post of Deputy Chief Minister has been reserved for this party.,துணை முதல்வர் பதவி இக்கட்சிக்கு ஒதுக்கப்பட்டுள்ளது.,thuṇai mudhalvar padhavi ikkaṭchikkŭ odhukkappaṭṭuḷḷadhu.,thunaimudhalvar padhaivi indhakatchikku othukki irukku,thunaimudhalvar padhaivi indhakatchikku othukki irukku
Class is the largest city of the Sumerians.,சுமேரியர்களின் மிகப்பெரிய நகரம் வர்க்கா ஆகும்.,chumēriyargaḷiṉ migapperiya nagaram varkkā āgum.,sumeriyarkaloda rombaperiye ooru varkka,sumeriyarkaloda romba periye ooru varkka dhan
There are 66 satellites in the iridium system.,இரிடியம் அமைப்பில் 66 செயற்கைக்கோள்கள் உள்ளன.,iriḍiyam amaippil 66 cheyaṟkaikkōḷgaḷ uḷḷaṉa.,iridiyum maadhiri 66 seyarkkaikolunga irukku,iridiyum maadhiri 66 seyarkkaikol irukku
He emphasized the state autonomy of Tamil Nadu.,தமிழகத்தின் மாநில சுயாட்சியை பெரிதும் வலியுறுத்தினார்.,thamizhagathiṉ mānila chuyāṭchiyai peridhum valiyuṟuthiṉār.,thamizhagathdhule maanila suyatchchiye romba valiyuruththunaaru,thamizhagathdhule maanila suyatchchiye romba valiyuruththunaaru
519 The hero of the story marries the women.,519 பெண்களைக் கதையின் நாயகன் மணக்கிறான்.,519 peṇgaḷaik kadhaiyiṉ nāyagaṉ maṇakkiṟāṉ.,519 ponnungalai kadhanayagan kalyaanam pannikkiraan,519 ponnungalai hero kalyaanam pannikkiraan
The temple was built by Raja Raja Chola.,இக்கோவில் ராஜ ராஜ சோழனால் கட்டப்பட்டது.,ikkōvil rāja rāja chōzhaṉāl kaṭṭappaṭṭadhu.,indha koyil rajaraja cholanaale kattappattadhu,indha koyil-aa rajaraja cholan kattunaaru
The Bangalore population has 47.5% of women.,பெங்களூரு மக்கள்தொகையில் பெண்கள் 47.5% உள்ளனர்.,peṅgaḷūrŭ makkaḷdhogaiyil peṇgaḷ 47.5% uḷḷaṉar.,bengalooru makkalthogaiyule ponnunga 47.5% irukkaanga,bengalooru populationle ponnunga 47.5% irukkaanga
Indira was 18 years old at that time.,அந்த சமயத்தில் இந்திராவிற்கு 18 வயது.,andha chamayathil indhirāviṟkŭ 18 vayadhu.,andha neraththule indiravukku 18 vayasu,appo indiravukku 18 vayasu
Here many scientists were created.,இங்கு பல அறிவியல் அறிஞர்கள் உருவாக்கப்பட்டனர்.,iṅgŭ pala aṟiviyal aṟiñargaḷ uruvākkappaṭṭaṉar.,inge neraiye ariviyal arignarkalai uruvakkanaange,inge neraiye ariviyal arignarkalai uruvakkanaange
Chilli is also a type of paper.,மிளகாயும் ஒருவகை தாளிப்புப் பொருள் ஆகும்.,miḷagāyum oruvagai thāḷippup poruḷ āgum.,milaga oruvagaiyaana thaalikkura porulu,milaga oruvagaiyaana thaalikkura porul dhan
"In 1885, the temple building began.",1885ம் ஆண்டில் ஆலயக்கட்டுமான பணி ஆரம்பமானது.,1885m āṇḍil ālayakkaṭṭumāṉa paṇi ārambamāṉadhu.,1885-m varusam koyilkattura velai thodangkuchchu,1885le koyilkattura velai aarambichaanga
It is one of the twelve parts of Tamil Nadu.,தமிழ்நாட்டின் பன்னிரு பகுதிகளில் இதுவும் ஒன்று.,thamizhnāṭṭiṉ paṉṉirŭ pagudhigaḷil idhuvum oṉḏru.,thamizhnattoda 18 paguthiyile idhuvum onnu,thamizhnattoda 12 paguthiyile idhuvum onnu
Treatment can be cured correctly and immediately.,சரியாகவும் உடனடியாகவும் சிகிச்சை செய்தால் குணமாக்கலாம்.,chariyāgavum uḍaṉaḍiyāgavum chigichai cheydhāl kuṇamākkalām.,seriyavum udaneyum sikichchai koduththaa konamaakkalaam,correct-aa odanee treatment panna seripanidalaam
King Cheraman Perumal was a friend of him.,அரசரான சேரமான் பெருமாள் இவருக்கு நண்பராயிருந்தார்.,arasarāṉa chēramāṉ perumāḷ ivarukkŭ naṇbarāyirundhār.,seramaan perumaal arasar ivaroda nanbar,seramaan perumaal arasar ivaroda nanbar
Washington's memory is located at the center.,மையத்தில் வாசிங்டன் நினைவகம் அமைந்துள்ளது.,maiyathil vāsiṅḍaṉ niṉaivagam amaindhuḷḷadhu.,naduvulle washington ninaividam irukku,naduvulle washington ninaividam irukku
This increased the population on Earth.,இதனால் பூமியில் மக்கள் தொகை அதிகரித்தது.,idhaṉāl pūmiyil makkaḷ thogai adhigarithadhu.,idhanaale boomiyile makkalthogai perugichchu,idhanaale boomile population jaasthiaachu
This is formerly the rule of the Nizams.,இம்மாவட்டம் முன்பு நிஜாம்களின் ஆட்சியில் இருந்தது.,immāvaṭṭam muṉbŭ nijāmgaḷiṉ āṭchiyil irundhadhu.,indhamaavattam munnaala nijamkaloda aatchiyile irundhuchu,indhamaavattam munnaala nijamkaloda aatchiyile irundhuchu
This lentils are greatly used for cooking.,இந்தப் பருப்புதான் சமையலுக்குப் பெரிதும் பயன்படுகிறது.,indhap paruppudhāṉ chamaiyalukkup peridhum payaṉbaḍugiṟadhu.,indha parupputhaan samaikka  romba payanpadudhu,indha parupputhaan samaikka romba use panuvaanga
Seshakopalan played the lead role.,சேஷகோபாலன் இதில் முக்கிய பாத்திரமாக நடித்தார்.,chēshagōbālaṉ idhil mukkiya pāthiramāga naḍithār.,Seshagopaalan idule mukkiyamane vesaththile nadichchaar,Seshagopaalan idule mukkiyamane rolele nadichchaaru
The average depth is 100 meters.,இதன் சராசரி ஆழம் 100 மீட்டர்கள்.,idhaṉ charāsari āzham 100 mīṭṭargaḷ.,idoda sarasariyane azham 100 meeter,idoda sarasariyane azham 100 meter
Another type of ventila is the eagle.,இதில் மற்றொரு வகை வெண்டலைக் கழுகு.,idhil maṯṟorŭ vagai veṇḍalaik kazhugu.,idule innoru vagai vendalaikazhugu,idule innoru vagai vendalaikazhugu
Born into a Jewish family in Ukraine.,உக்ரைனில் யூதக் குடும்பத்தில் பிறந்தவர்  .,ukraiṉil yūdhak kuḍumbathil piṟandhavar .,ukrainule youdharkolda kudumpaththule porandhavar,ukrainule youdharkolda familyle porandhavaru
"There are over 10,000 Tamils ​​living here.","இங்கு 10,000க்கு மேற்பட்ட தமிழர் வசிக்கின்றனர்.","iṅgŭ 10,000kkŭ mēṟpaṭṭa thamizhar vasikkiṉḏraṉar.","inge 10,000kku mele thamizhanga irukkaanga","inge 10,000kku mele thamizh makkal vazhdraanga"
He was 74 years old at his death.,இறக்கும் போது அவருக்கு வயது 74.,iṟakkum pōdhŭ avarukkŭ vayadhŭ 74.,saagumpodhu avarukku vayasu 74,saagumpodhu avarukku vayasu 74
"Velu defeated 109,796 votes.","வேலுவை 109,796 வாக்குகள் வேறுபாட்டில் தோற்கடித்தார்.","vēluvai 109,796 vākkugaḷ vēṟubāṭṭil thōṟkaḍithār.","veluve 109,796 vottu viththiyasaththule thoakkadichchaar","veluve 109,796 vottu viththiyasaththule thoakkadichchaaruu"
About 40 per cent of the people are suffering from the disease.,இங்குள்ள 40 விழுக்காட்டினர் இந்நோயால் பாதிக்கப்பட்டுள்ளனர்.,iṅguḷḷa 40 vizhukkāṭṭiṉar innōyāl pādhikkappaṭṭuḷḷaṉar.,inga irukkura 40 sathaveedham peru indha noyale pathikkapattu irukkaanga,inga irukkura 40 percent peru indha noyale pathikkapattanga
This is the oldest temple in Singapore.,இதுவே சிங்கப்பூரின் மிகப் பழமையான கோயில்.,idhuvē chiṅgappūriṉ migap pazhamaiyāṉa kōyil.,idudhaan singapoorla romba pazhaiye koyil,idudhaan singapoorle romba pazhaiye koyil-u
Forests are 28% of the landscape of France.,பிரான்சின் நிலப்பரப்பில் காடுகள் 28% ஆகும்.,pirāṉsiṉ nilapparappil kāḍugaḷ 28% āgum.,france-oda nilapparappule kadunga 28%,france-oda nilapparappule kadunga 28%
The player who goes to the opponent will be considered like a cow.,எதிரணிக்கு செல்லும் வீரர் மாட்டைப்போல் கருதப்படுவார்.,yedhiraṇikkŭ chellum vīrar māṭṭaippōl karudhappaḍuvār.,ethiranikku pora veeraru madumaadhiri nadaththapaduvaaru,ethiranikku pora veeraru madumaadhiri nadaththuvaanga
The spirit is faithful.,ஆவி நம்பிக்கை உடையவர்கள்.,āvi ulagak kōṭpāṭṭil nambikkai uḍaiyavargaḷ.,aavie-mela nambikkai ullavanga,aavie-mela nambikkai irukkavanga
Some seeds are also a food of birds.,சில விதைகள் பறவைகளின் உணவாகவும் இருக்கின்றது.,chila vidhaigaḷ paṟavaigaḷiṉ uṇavāgavum irukkiṉḏradhu.,sila vidhainga paravaingalukku saappaada irukku,sila seeds-lam birds-oda saappaada irukku
He has no interest in formal education.,முறையான கல்வியில் இவருக்கு விருப்பம் இல்லை.,muṟaiyāṉa kalviyil ivarukkŭ viruppam illai.,moraiya padikkaradhule ivarukku viruppam ille,moraiya padikkaradhule ivarukku viruppam ille
Its total length is 107 kilometers.,இதன் மொத்த நீளம் 107 கிலோமீட்டர்.,idhaṉ motha nīḷam 107 kilōmīṭṭar.,idoda moththa neelam 107 kilomeeter,idoda moththa neelam 107 kilometer
There are many islands in the Thanganeka Lake.,தங்கனீக்கா ஏரியில் பல தீவுகள் அமைந்துள்ளன.,thaṅgaṉīkkā yēriyil pala thīvugaḷ amaindhuḷḷaṉa.,thanganeekka eriyile niraiye theevukal irukku,thanganeekka eriyile niraiye theevu irukkaam
The Indian ground forces collapsed in the sudden attack.,திடீர் தாக்குதலில் இந்தியத் தரைப்படை நிலைகுலைந்தது.,thiḍīr thākkudhalil indhiyath tharaippaḍai nilaigulaindhadhu.,thideernu nadandha taakkuthalile india tharaippade sethanju pochu,thideernu nadandha taakkuthalile india army sethanju pochu
There are four types of sapphire art.,செப்பிடு வித்தைக் கலை நான்கு வகைப்படும்.,cheppiḍŭ vithaik kalai nāṉgŭ vagaippaḍum.,seppidu viththai kale 4 vagai,seppidu viththai kale 4 vaga irukku
Everyone knows Adobe today.,இன்று அடோப் என்றாலே எல்லோருக்கும் தெரியும்.,iṉḏrŭ aḍōp yeṉḏrālē yellōrukkum theriyum.,innaikku adop-na ellarukkum theriyum,innaikku adop-na ellarukkum theriyum
As well as it is synchronous with Windows Messenger.,அத்துடன் இது விண்டோஸ் மெசன்ஜருடன் ஒத்திசைவானது.,athuḍaṉ idhŭ viṇḍōs mesaṉjaruḍaṉ othisaivāṉadhu.,adoda idhu vwindows messenger-oda velai seyyum,adoda idhu windows messenger-oda work aagum
He was in solitary prison for 11 months.,11 மாதங்கள் தனிமைச் சிறையில் இருந்தார்.,11 mādhaṅgaḷ thaṉimaich chiṟaiyil irundhār.,11 masam thaniye  sirayile irundhaar,11 masam thani jaille irundhaaru
Built at Navagraha Temple and Murugan Temple.,"நவக்கிரக கோவிலும், முருகன் கோவிலும் கட்டப்பட்டுள்ளன.","navakkiraga kōvilum, murugaṉ kōvilum kaṭṭappaṭṭuḷḷaṉa.","navakiraga koyilum, murugan koyilum katti irukku","navakiraga koyilum, murugan koyilum katti irukkanga"
He studied only for 45 days.,அங்கே 45-நாட்கள் மட்டுமே கல்வி பயின்றார்.,aṅgē 45-nāṭkaḷ maṭṭumē kalvi payiṉḏrār.,ange 45-naalu  mattumdhaan padichchaar,ange 45-naalu  mattumdhaan school-ku ponaaru
The Russia Revolution has been portrayed in many films.,உருசியா புரட்சி பல திரைப்படங்களில் சித்தரிக்கப்பட்டுள்ளது.,urusiyā puraṭchi pala thiraippaḍaṅgaḷil chitharikkappaṭṭuḷḷadhu.,russiya puratchi neraiye padaththule kattappatturukku,russia puratchi neraiye padaththule kattavanga
There are many football groups here.,இங்கு பல கால்பந்தாட்டக் குழுக்கள் உள்ளன.,iṅgŭ pala kālbandhāṭṭak kuzhukkaḷ uḷḷaṉa.,inge neraiye  kaalbandhatta aninga irukku,inge neraiye  football team irukku
He is not really a Mughal.,இவர் உண்மையில் ஒரு முகலாயரும் அல்லர்.,ivar uṇmaiyil orŭ mugalāyarum allar.,ivaru unmailyile oru muslim ille,ivaru unmailyile muslim ille
There are dwarapalakas on both sides of the gate of the sanctum sanctorum.,கருவறை வாயிலில் இருபுறமும் துவாரபாலகர்கள் உள்ளனர்.,karuvaṟai vāyilil irubuṟamum thuvārabālagargaḷ uḷḷaṉar.,karuvare vaasalile rendupakkamum dhuvarabalagarkar irukkaanga,karuvare vaasalile rendupakkamum dhuvarabalagarkar irukkaanga
This is what dominates man the most.,இதுவே மனிதனில் அதிகளவு ஆதிக்கம் செலுத்துவது.,idhuvē maṉidhaṉil adhigaḷavŭ ādhikkam cheluthuvadhu.,idhudhaan manusan mela adhiga aathikkam seluththudhu,idhudhaan manusan-oda adhigamaana aathikkam
Up to 100 numbers are mentioned.,இதில் 100 வரையான எண்கள் குறிப்பிடப்பட்டுள்ளது.,idhil 100 varaiyāṉa yeṇgaḷ kuṟippiḍappaṭṭuḷḷadhu.,idule 100 varaikkum engal ezhuthi irukku,idule 100 varaikkum numbers ezhuthi irukku
The book climaxes with the battle.,புத்தகம் போருடன் உச்சநிலையை அடைகிறது.,puthagam   pōruḍaṉ uchanilaiyai aḍaigiṟadhu.,puththagam sandai mudivoda mudinchududhu,puththagam por-oda mudivoda vandhuchu
Months are also different.,இதனால் மாதங்களும் வெவ்வேறு அளவுள்ளவையாக உள்ளன.,idhaṉāl mādhaṅgaḷum vevvēṟŭ aḷavuḷḷavaiyāga uḷḷaṉa.,idanaale maasangalum ovvoru alavulle irukku,idanaale maasangalum ovvoru alavulle irukku
He has never done this for anyone.,யாருக்காகவும் இதுவரை அவன் இப்படிச் செய்ததில்லை.,yārukkāgavum idhuvarai avaṉ ippaḍich cheydhadhillai.,yarukkagavum eduvaraikkum avan ippadi senjadhuillai,yarukkagavum idhuvara avan ippadi panadhille
Tirthakulam is a short distance away from here.,இங்கிருந்து சற்று தூரத்தில் தீர்த்தக்குளம் இருக்கிறது.,iṅgirundhŭ chaṯṟŭ thūrathil thīrthakkuḷam irukkiṟadhu.,ingirundhu konja thooraththile theerthakulam irukku,ingirundhu konja thooraththile theerthakulam irukkaam
Not all of this is the true nature of man.,இவையனைத்தும் மனிதனின் உண்மையான இயல்பு அல்ல.,ivaiyaṉaithum maṉidhaṉiṉ uṇmaiyāṉa iyalbŭ alla.,idellam manusanado nejamaana kunam ille,idellam manushanoda nejamaana kunam ille
But it is not written in many times; Is avoided.),"ஆனால், அநேகநேரங்களில் இது எழுதப்படுவதில்லை; தவிர்க்கப்படுகிறது.)","āṉāl, anēganēraṅgaḷil idhŭ yezhudhappaḍuvadhillai; thavirkkappaḍugiṟadhu.)","aanal, neraiyeneram idhai ezhuduradhille","aana, neraiye neram idha ezhuduradhille"
Free education is practiced here.,இலவசக்கல்வி முறையே இங்கு நடைமுறையில் உள்ளது.,ilavasakkalvi muṟaiyē iṅgŭ naḍaimuṟaiyil uḷḷadhu.,ilavasakkalvi moraiye inge nadamoraiyile irukku,ilavasakkalvi moraiye inge nadamoraiyile irukku
The warehouse burned with heavy explosion.,பலத்த வெடிச்சத்தத்துடன் கிடங்கு தீப்பிடித்து எரிந்தது.,palatha veḍichathathuḍaṉ kiḍaṅgŭ thīppiḍithŭ yerindhadhu.,periya vedisaththathdoa kedungu theepidichi erinjadhu,periya vedisaththathdoa godown theepidichi erinjadhu
His opinion was not accepted by the first.,அவரது கருத்து முதலிடம் கேட்டோரால் ஏற்கப்படவில்லை.,avaradhŭ karuthŭ mudhaliḍam kēṭṭōrāl yēṟkappaḍavillai.,avaroda karuthhai modhalla kaettavanga aethukkale,avaroda karuthhai modhalla kaettavanga-la acept panala
Rathi Devi is the companion of Kamadevan.,ரதி தேவி காமதேவனின் துணையாக உள்ளார்.,radhi thēvi kāmadhēvaṉiṉ thuṇaiyāga uḷḷār.,radhidevi kaamadevanoda thunaiye irukkar,radhidevi kaamadevanoda thunaiye irukkanga
There are 220 pyramids here today.,இங்கு 220 பிரமிடுகள் இன்றும் உள்ளன.,iṅgŭ 220 piramiḍugaḷ iṉḏrum uḷḷaṉa.,inge 220 pirameedunga innaikkum irukku,inge 220 Pyramids innaikkum irukku
Starting from a flood test.,வெள்ளோட்டச் சோதனையில் இருந்து ஆரம்பிக்கிறது.,chōdhaṉai veḷḷōṭṭach chōdhaṉaiyil irundhŭ ārambikkiṟadhu.,vellottaa sothanaiyile irundhu aarambikkudhu,vellottaa testingla irundhu aarambikkudhu
God created the king of the country.,கடவுள் நாட்டை ஆள மன்னனை படைத்தான்.,kaḍavuḷ nāṭṭai āḷa maṉṉaṉai paḍaithāṉ.,kadavul naatte aala mannane padachchadhu,kadavul naatte aala mannane padachchaaru
There are four entrances on the four sides.,நான்கு பக்கங்களிலும் நான்கு நுழைவாயில்கள் உள்ளன.,nāṉgŭ pakkaṅgaḷilum nāṉgŭ nuzhaivāyilgaḷ uḷḷaṉa.,naalu pakkamum naala vaasal irukku,naalu pakkamum naalu vaasal irukku
He is the son of the sun god.,இவர் சூரிய தேவனின் மகன் ஆவார்.,ivar chūriya thēvaṉiṉ magaṉ āvār.,ivaru sooryadhevanoda paiyan,ivaru sooryadhevanoda paiyan
There is a monastery in the hills.,அங்குள்ள மலைப்பகுதியில் ஒரு மடாலயம் உள்ளது.,aṅguḷḷa malaippagudhiyil orŭ maḍālayam uḷḷadhu.,angairukkura malaiyile oru asaramam irukku,angairukkura malaiyile oru asaramam irukkaam
Ranjan's sword was heavily preferred by fans.,ரஞ்சனின் வாள்வீச்சு ரசிகர்களால் பெரிதும் விரும்பப்பட்டது.,ranjaṉiṉ vāḷvīchŭ rasigargaḷāl peridhum virumbappaṭṭadhu.,ranjanoda vaalsandai rasikarkalukku romba pudikkum,ranjani-oda vaalsandai fans-kku romba pudikkum
Sridhakshinamoorthy is five feet tall.,இங்குள்ள ஸ்ரீதட்சிணாமூர்த்தி ஐந்தடி உயரம் கொண்டது.,iṅguḷḷa srīdhaṭchiṇāmūrthi aindhaḍi uyaram koṇḍadhu.,ingirukkura srithatchinamoorthy anjadi uyaram irukku,ingirukka sri thatchinamoorthy anjadi uyaram irukkum
Babar captured Agra and Delhi.,"பாபர் ஆக்ராவையும், தில்லியையும் கைப்பற்றிக் கொண்டார்.","pābar ākrāvaiyum, thilliyaiyum kaippaṯṟik koṇḍār.","baabar agravaiyum, dilliyayum pudichchuttaar","baabar aagravaiyum, delliyayum pudichaaruu"
Rockefeller provided money.,ராக்பெல்லர் இதற்கு பண உதவி வழங்கினார்.,rākpellar idhaṟkŭ paṇa udhavi vazhaṅgiṉār.,rockefeller idhukku pana udavi panninaar,rockefeller idhukku pana udavi senjaaru
