english,tamil,transliterated,colloquial: annotator 1,colloquial: annotator 2
There are no such restrictions in the Indian psalm.,இந்திய சங்கீதத்தில் இதுபோன்ற கட்டுப்பாடுகள் இல்லை.,indhiya changeedhathil idhubondra kattuppaadugal illai.,indhiye sangeedhaththile idhumaadhiri kattppaadu ille,india sangeedhaththile idhu maadhiri kattppaadu ille
These are vegetarianism.,இம்மக்கள் சைவ உணவுப் பழக்கம் கொண்டோர்.,immakkal chaiva unavup pazhakkam kondor.,indhamakkal saive saappaadu pazhakkam ullavanga,indhamakkal saivam saappaduravanga
"Many Espeans were born in the Philippines (""Cryolo"").","பல எசுப்பானியர்கள் பிலிப்பைன்சில் பிறந்தனர் (""கிரியொல்லோ"").","pala esuppaaniyargal pilippainsil pirandhanar (""kiriyollo"").",neraiye yasuppaaninga philippinesle porandhaanga,neraiye yasuppaaninga philippinesle porandhavanga
Chinnappa had great interest in music.,சின்னப்பாவுக்கு இசையில் பெரும் ஆர்வம் இருந்தது.,chinnappaavukku isaiyil perum aarvam irundhadhu.,sinnappavukku isaiyile romba naattam irundhuchu,sinnappavukku isaiyile romba interest irundhuchu
The post of Deputy Chief Minister has been reserved for this party.,துணை முதல்வர் பதவி இக்கட்சிக்கு ஒதுக்கப்பட்டுள்ளது.,thunai mudhalvar padhavi ikkatchikku odhukkappattulladhu.,thunaimudhalvar padhaivi indhakatchikku othukki irukku,thunaimudhalvar padhaivi indhakatchikku othukki irukku
Class is the largest city of the Sumerians.,சுமேரியர்களின் மிகப்பெரிய நகரம் வர்க்கா ஆகும்.,chumaeriyargalin migapperiya nagaram varkkaa aagum.,sumeriyarkaloda rombaperiye ooru varkka,sumeriyarkaloda romba periye ooru varkka dhan
There are 66 satellites in the iridium system.,இரிடியம் அமைப்பில் 66 செயற்கைக்கோள்கள் உள்ளன.,iridiyam amaippil 66 cheyarkaikkolgal ullana.,iridiyum maadhiri 66 seyarkkaikolunga irukku,iridiyum maadhiri 66 seyarkkaikol irukku
He emphasized the state autonomy of Tamil Nadu.,தமிழகத்தின் மாநில சுயாட்சியை பெரிதும் வலியுறுத்தினார்.,thamizhagathin maanila chuyaatchiyai peridhum valiyuruthinaar.,thamizhagathdhule maanila suyatchchiye romba valiyuruththunaaru,thamizhagathdhule maanila suyatchchiye romba valiyuruththunaaru
519 The hero of the story marries the women.,519 பெண்களைக் கதையின் நாயகன் மணக்கிறான்.,519 pengalaik kadhaiyin naayagan manakkiraan.,519 ponnungalai kadhanayagan kalyaanam pannikkiraan,519 ponnungalai hero kalyaanam pannikkiraan
The temple was built by Raja Raja Chola.,இக்கோவில் ராஜ ராஜ சோழனால் கட்டப்பட்டது.,ikkovil raaja raaja chozhanaal kattappattadhu.,indha koyil rajaraja cholanaale kattappattadhu,indha koyil-aa rajaraja cholan kattunaaru
The Bangalore population has 47.5% of women.,பெங்களூரு மக்கள்தொகையில் பெண்கள் 47.5% உள்ளனர்.,pengalooru makkaldhogaiyil pengal 47.5% ullanar.,bengalooru makkalthogaiyule ponnunga 47.5% irukkaanga,bengalooru populationle ponnunga 47.5% irukkaanga
Indira was 18 years old at that time.,அந்த சமயத்தில் இந்திராவிற்கு 18 வயது.,andha chamayathil indhiraavirku 18 vayadhu.,andha neraththule indiravukku 18 vayasu,appo indiravukku 18 vayasu
Here many scientists were created.,இங்கு பல அறிவியல் அறிஞர்கள் உருவாக்கப்பட்டனர்.,ingu pala ariviyal arinyargal uruvaakkappattanar.,inge neraiye ariviyal arignarkalai uruvakkanaange,inge neraiye ariviyal arignarkalai uruvakkanaange
Chilli is also a type of paper.,மிளகாயும் ஒருவகை தாளிப்புப் பொருள் ஆகும்.,milagaayum oruvagai thaalippup porul aagum.,milaga oruvagaiyaana thaalikkura porulu,milaga oruvagaiyaana thaalikkura porul dhan
"In 1885, the temple building began.",1885ம் ஆண்டில் ஆலயக்கட்டுமான பணி ஆரம்பமானது.,1885m aandil aalayakkattumaana pani aarambamaanadhu.,1885-m varusam koyilkattura velai thodangkuchchu,1885le koyilkattura velai aarambichaanga
It is one of the twelve parts of Tamil Nadu.,தமிழ்நாட்டின் பன்னிரு பகுதிகளில் இதுவும் ஒன்று.,thamizhnaattin panniru pagudhigalil idhuvum ondru.,thamizhnattoda 18 paguthiyile idhuvum onnu,thamizhnattoda 12 paguthiyile idhuvum onnu
Treatment can be cured correctly and immediately.,சரியாகவும் உடனடியாகவும் சிகிச்சை செய்தால் குணமாக்கலாம்.,chariyaagavum udanadiyaagavum chigichai cheydhaal kunamaakkalaam.,seriyavum udaneyum sikichchai koduththaa konamaakkalaam,correct-aa odanae treatment panna seripanidalaam
King Cheraman Perumal was a friend of him.,அரசரான சேரமான் பெருமாள் இவருக்கு நண்பராயிருந்தார்.,arasaraana chaeramaan perumaal ivarukku nanbaraayirundhaar.,seramaan perumaal arasar ivaroda nanbar,seramaan perumaal arasar ivaroda nanbar
Washington's memory is located at the center.,மையத்தில் வாசிங்டன் நினைவகம் அமைந்துள்ளது.,maiyathil vaasingdan ninaivagam amaindhulladhu.,naduvulle washington ninaividam irukku,naduvulle washington ninaividam irukku
This increased the population on Earth.,இதனால் பூமியில் மக்கள் தொகை அதிகரித்தது.,idhanaal poomiyil makkal thogai adhigarithadhu.,idhanaale boomiyile makkalthogai perugichchu,idhanaale boomile population jaasthiaachu
This is formerly the rule of the Nizams.,இம்மாவட்டம் முன்பு நிஜாம்களின் ஆட்சியில் இருந்தது.,immaavattam munbu nijaamgalin aatchiyil irundhadhu.,indhamaavattam munnaala nijamkaloda aatchiyile irundhuchu,indhamaavattam munnaala nijamkaloda aatchiyile irundhuchu
This lentils are greatly used for cooking.,இந்தப் பருப்புதான் சமையலுக்குப் பெரிதும் பயன்படுகிறது.,indhap paruppudhaan chamaiyalukkup peridhum payanbadugiradhu.,indha parupputhaan samaikka  romba payanpadudhu,indha parupputhaan samaikka romba use panuvaanga
Seshakopalan played the lead role.,சேஷகோபாலன் இதில் முக்கிய பாத்திரமாக நடித்தார்.,chaeshagobaalan idhil mukkiya paathiramaaga nadithaar.,Seshagopaalan idule mukkiyamane vesaththile nadichchaar,Seshagopaalan idule mukkiyamane rolele nadichchaaru
The average depth is 100 meters.,இதன் சராசரி ஆழம் 100 மீட்டர்கள்.,idhan charaasari aazham 100 meettargal.,idoda sarasariyane azham 100 meeter,idoda sarasariyane azham 100 meter
Another type of ventila is the eagle.,இதில் மற்றொரு வகை வெண்டலைக் கழுகு.,idhil matroru vagai vendalaik kazhugu.,idule innoru vagai vendalaikazhugu,idule innoru vagai vendalaikazhugu
Born into a Jewish family in Ukraine.,உக்ரைனில் யூதக் குடும்பத்தில் பிறந்தவர்  .,ukrainil yoodhak kudumbathil pirandhavar  .,ukrainule youdharkolda kudumpaththule porandhavar,ukrainule youdharkolda familyle porandhavaru
"There are over 10,000 Tamils ​​living here.","இங்கு 10,000க்கு மேற்பட்ட தமிழர் வசிக்கின்றனர்.","ingu 10,000kku maerpatta thamizhar vasikkindranar.","inge 10,000kku mele thamizhanga irukkaanga","inge 10,000kku mele thamizh makkal vazhdraanga"
He was 74 years old at his death.,இறக்கும் போது அவருக்கு வயது 74.,irakkum podhu avarukku vayadhu 74.,saagumpodhu avarukku vayasu 74,saagumpodhu avarukku vayasu 74
"Velu defeated 109,796 votes.","வேலுவை 109,796 வாக்குகள் வேறுபாட்டில் தோற்கடித்தார்.","vaeluvai 109,796 vaakkugal vaerubaattil thorkadithaar.","veluve 109,796 vottu viththiyasaththule thoakkadichchaar","veluve 109,796 vottu viththiyasaththule thoakkadichchaaruu"
About 40 per cent of the people are suffering from the disease.,இங்குள்ள 40 விழுக்காட்டினர் இந்நோயால் பாதிக்கப்பட்டுள்ளனர்.,ingulla 40 vizhukkaattinar innoyaal paadhikkappattullanar.,inga irukkura 40 sathaveedham peru indha noyale pathikkapattu irukkaanga,inga irukkura 40 percent peru indha noyale pathikkapattanga
This is the oldest temple in Singapore.,இதுவே சிங்கப்பூரின் மிகப் பழமையான கோயில்.,idhuvae chingappoorin migap pazhamaiyaana koyil.,idudhaan singapoorla romba pazhaiye koyil,idudhaan singapoorle romba pazhaiye koyil-u
Forests are 28% of the landscape of France.,பிரான்சின் நிலப்பரப்பில் காடுகள் 28% ஆகும்.,piraansin nilapparappil kaadugal 28% aagum.,france-oda nilapparappule kadunga 28%,france-oda nilapparappule kadunga 28%
The player who goes to the opponent will be considered like a cow.,எதிரணிக்கு செல்லும் வீரர் மாட்டைப்போல் கருதப்படுவார்.,edhiranikku chellum veerar maattaippol karudhappaduvaar.,ethiranikku pora veeraru madumaadhiri nadaththapaduvaaru,ethiranikku pora veeraru madumaadhiri nadaththuvaanga
The spirit is faithful.,ஆவி நம்பிக்கை உடையவர்கள்.,aavi nambikkai udaiyavargal.,aavie-mela nambikkai ullavanga,aavie-mela nambikkai irukkavanga
Some seeds are also a food of birds.,சில விதைகள் பறவைகளின் உணவாகவும் இருக்கின்றது.,chila vidhaigal paravaigalin unavaagavum irukkindradhu.,sila vidhainga paravaingalukku saappaada irukku,sila seeds-lam birds-oda saappaada irukku
He has no interest in formal education.,முறையான கல்வியில் இவருக்கு விருப்பம் இல்லை.,muraiyaana kalviyil ivarukku viruppam illai.,moraiya padikkaradhule ivarukku viruppam ille,moraiya padikkaradhule ivarukku viruppam ille
Its total length is 107 kilometers.,இதன் மொத்த நீளம் 107 கிலோமீட்டர்.,idhan motha neelam 107 kilomeettar.,idoda moththa neelam 107 kilomeeter,idoda moththa neelam 107 kilometer
There are many islands in the Thanganeka Lake.,தங்கனீக்கா ஏரியில் பல தீவுகள் அமைந்துள்ளன.,thanganeekkaa aeriyil pala theevugal amaindhullana.,thanganeekka eriyile niraiye theevukal irukku,thanganeekka eriyile niraiye theevu irukkaam
The Indian ground forces collapsed in the sudden attack.,திடீர் தாக்குதலில் இந்தியத் தரைப்படை நிலைகுலைந்தது.,thideer thaakkudhalil indhiyath tharaippadai nilaigulaindhadhu.,thideernu nadandha taakkuthalile india tharaippade sethanju pochu,thideernu nadandha taakkuthalile india army sethanju pochu
There are four types of sapphire art.,செப்பிடு வித்தைக் கலை நான்கு வகைப்படும்.,cheppidu vithaik kalai naangu vagaippadum.,seppidu viththai kale 4 vagai,seppidu viththai kale 4 vaga irukku
Everyone knows Adobe today.,இன்று அடோப் என்றாலே எல்லோருக்கும் தெரியும்.,indru adop endraalae ellorukkum theriyum.,innaikku adop-na ellarukkum theriyum,innaikku adop-na ellarukkum theriyum
As well as it is synchronous with Windows Messenger.,அத்துடன் இது விண்டோஸ் மெசன்ஜருடன் ஒத்திசைவானது.,athudan idhu vindos mesanjarudan othisaivaanadhu.,adoda idhu vwindows messenger-oda velai seyyum,adoda idhu windows messenger-oda work aagum
He was in solitary prison for 11 months.,11 மாதங்கள் தனிமைச் சிறையில் இருந்தார்.,11 maadhangal thanimaich chiraiyil irundhaar.,11 masam thaniye  sirayile irundhaar,11 masam thani jaille irundhaaru
Built at Navagraha Temple and Murugan Temple.,"நவக்கிரக கோவிலும், முருகன் கோவிலும் கட்டப்பட்டுள்ளன.","navakkiraga kovilum, murugan kovilum kattappattullana.","navakiraga koyilum, murugan koyilum katti irukku","navakiraga koyilum, murugan koyilum katti irukkanga"
He studied only for 45 days.,அங்கே 45-நாட்கள் மட்டுமே கல்வி பயின்றார்.,angae 45-naatkal mattumae kalvi payindraar.,ange 45-naalu  mattumdhaan padichchaar,ange 45-naalu  mattumdhaan school-ku ponaaru
The Russia Revolution has been portrayed in many films.,உருசியா புரட்சி பல திரைப்படங்களில் சித்தரிக்கப்பட்டுள்ளது.,urusiyaa puratchi pala thiraippadangalil chitharikkappattulladhu.,russiya puratchi neraiye padaththule kattappatturukku,russia puratchi neraiye padaththule kattavanga
There are many football groups here.,இங்கு பல கால்பந்தாட்டக் குழுக்கள் உள்ளன.,ingu pala kaalbandhaattak kuzhukkal ullana.,inge neraiye  kaalbandhatta aninga irukku,inge neraiye  football team irukku
He is not really a Mughal.,இவர் உண்மையில் ஒரு முகலாயரும் அல்லர்.,ivar unmaiyil oru mugalaayarum allar.,ivaru unmailyile oru muslim ille,ivaru unmailyile muslim ille
There are dwarapalakas on both sides of the gate of the sanctum sanctorum.,கருவறை வாயிலில் இருபுறமும் துவாரபாலகர்கள் உள்ளனர்.,karuvarai vaayilil iruburamum thuvaarabaalagargal ullanar.,karuvare vaasalile rendupakkamum dhuvarabalagarkar irukkaanga,karuvare vaasalile rendupakkamum dhuvarabalagarkar irukkaanga
This is what dominates man the most.,இதுவே மனிதனில் அதிகளவு ஆதிக்கம் செலுத்துவது.,idhuvae manidhanil adhigalavu aadhikkam cheluthuvadhu.,idhudhaan manusan mela adhiga aathikkam seluththudhu,idhudhaan manusan-oda adhigamaana aathikkam
Up to 100 numbers are mentioned.,இதில் 100 வரையான எண்கள் குறிப்பிடப்பட்டுள்ளது.,idhil 100 varaiyaana engal kurippidappattulladhu.,idule 100 varaikkum engal ezhuthi irukku,idule 100 varaikkum numbers ezhuthi irukku
The book climaxes with the battle.,புத்தகம் போருடன் உச்சநிலையை அடைகிறது.,puthagam porudan uchanilaiyai adaigiradhu.,puththagam sandai mudivoda mudinchududhu,puththagam por-oda mudivoda vandhuchu
Months are also different.,இதனால் மாதங்களும் வெவ்வேறு அளவுள்ளவையாக உள்ளன.,idhanaal maadhangalum vevvaeru alavullavaiyaaga ullana.,idanaale maasangalum ovvoru alavulle irukku,idanaale maasangalum ovvoru alavulle irukku
He has never done this for anyone.,யாருக்காகவும் இதுவரை அவன் இப்படிச் செய்ததில்லை.,yaarukkaagavum idhuvarai avan ippadich cheydhadhillai.,yarukkagavum eduvaraikkum avan ippadi senjadhuillai,yarukkagavum idhuvara avan ippadi panadhille
Tirthakulam is a short distance away from here.,இங்கிருந்து சற்று தூரத்தில் தீர்த்தக்குளம் இருக்கிறது.,ingirundhu chatru thoorathil theerthakkulam irukkiradhu.,ingirundhu konja thooraththile theerthakulam irukku,ingirundhu konja thooraththile theerthakulam irukkaam
Not all of this is the true nature of man.,இவையனைத்தும் மனிதனின் உண்மையான இயல்பு அல்ல.,ivaiyanaithum manidhanin unmaiyaana iyalbu alla.,idellam manusanado nejamaana kunam ille,idellam manushanoda nejamaana kunam ille
But it is not written in many times; Is avoided.),"ஆனால், அநேகநேரங்களில் இது எழுதப்படுவதில்லை; தவிர்க்கப்படுகிறது.)","aanaal, anaeganaerangalil idhu ezhudhappaduvadhillai; thavirkkappadugiradhu.","aanal, neraiyeneram idhai ezhuduradhille","aana, neraiye neram idha ezhuduradhille"
Free education is practiced here.,இலவசக்கல்வி முறையே இங்கு நடைமுறையில் உள்ளது.,ilavasakkalvi muraiyae ingu nadaimuraiyil ulladhu.,ilavasakkalvi moraiye inge nadamoraiyile irukku,ilavasakkalvi moraiye inge nadamoraiyile irukku
The warehouse burned with heavy explosion.,பலத்த வெடிச்சத்தத்துடன் கிடங்கு தீப்பிடித்து எரிந்தது.,palatha vedichathathudan kidangu theeppidithu erindhadhu.,periya vedisaththathdoa kedungu theepidichi erinjadhu,periya vedisaththathdoa godown theepidichi erinjadhu
His opinion was not accepted by the first.,அவரது கருத்து முதலிடம் கேட்டோரால் ஏற்கப்படவில்லை.,avaradhu karuthu mudhalidam kaettoraal aerkappadavillai.,avaroda karuthhai modhalla kaettavanga aethukkale,avaroda karuthhai modhalla kaettavanga-la acept panala
Rathi Devi is the companion of Kamadevan.,ரதி தேவி காமதேவனின் துணையாக உள்ளார்.,radhi thaevi kaamadhaevanin thunaiyaaga ullaar.,radhidevi kaamadevanoda thunaiye irukkar,radhidevi kaamadevanoda thunaiye irukkanga
There are 220 pyramids here today.,இங்கு 220 பிரமிடுகள் இன்றும் உள்ளன.,ingu 220 piramidugal indrum ullana.,inge 220 pirameedunga innaikkum irukku,inge 220 Pyramids innaikkum irukku
Starting from a flood test.,வெள்ளோட்டச் சோதனையில் இருந்து ஆரம்பிக்கிறது.,vellottach chodhanaiyil irundhu aarambikkiradhu.,vellottaa sothanaiyile irundhu aarambikkudhu,vellottaa testingla irundhu aarambikkudhu
God created the king of the country.,கடவுள் நாட்டை ஆள மன்னனை படைத்தான்.,kadavul naattai aala mannanai padaithaan.,kadavul naatte aala mannane padachchadhu,kadavul naatte aala mannane padachchaaru
There are four entrances on the four sides.,நான்கு பக்கங்களிலும் நான்கு நுழைவாயில்கள் உள்ளன.,naangu pakkangalilum naangu nuzhaivaayilgal ullana.,naalu pakkamum naala vaasal irukku,naalu pakkamum naalu vaasal irukku
He is the son of the sun god.,இவர் சூரிய தேவனின் மகன் ஆவார்.,ivar chooriya thaevanin magan aavaar.,ivaru sooryadhevanoda paiyan,ivaru sooryadhevanoda paiyan
There is a monastery in the hills.,அங்குள்ள மலைப்பகுதியில் ஒரு மடாலயம் உள்ளது.,angulla malaippagudhiyil oru madaalayam ulladhu.,angairukkura malaiyile oru asaramam irukku,angairukkura malaiyile oru asaramam irukkaam
Ranjan's sword was heavily preferred by fans.,ரஞ்சனின் வாள்வீச்சு ரசிகர்களால் பெரிதும் விரும்பப்பட்டது.,ranjanin vaalveechu rasigargalaal peridhum virumbappattadhu.,ranjanoda vaalsandai rasikarkalukku romba pudikkum,ranjani-oda vaalsandai fans-kku romba pudikkum
Sridhakshinamoorthy is five feet tall.,இங்குள்ள ஸ்ரீதட்சிணாமூர்த்தி ஐந்தடி உயரம் கொண்டது.,ingulla sreedhatchinaamoorthi aindhadi uyaram kondadhu.,ingirukkura srithatchinamoorthy anjadi uyaram irukku,ingirukka sri thatchinamoorthy anjadi uyaram irukkum
Babar captured Agra and Delhi.,"பாபர் ஆக்ராவையும், தில்லியையும் கைப்பற்றிக் கொண்டார்.","paabar aakraavaiyum, thilliyaiyum kaippatrik kondaar.","baabar agravaiyum, dilliyayum pudichchuttaar","baabar aagravaiyum, delliyayum pudichaaruu"
Rockefeller provided money.,ராக்பெல்லர் இதற்கு பண உதவி வழங்கினார்.,raakpellar idharku pana udhavi vazhanginaar.,rockefeller idhukku pana udavi panninaar,rockefeller idhukku pana udavi senjaaru
Only Turkey accepted this announcement.,இந்த அறிவிப்பை துருக்கி மட்டுமே ஏற்றுக்கொண்டது.,indha arivippai thurukki mattumae aetrukkondadhu.,indha arivippai thurukki mattum eththukichchi,indha arivippai Turkey mattum eththukutaanga
It is also known as the August Revolution.,இது ஆகஸ்ட் புரட்சி என்றும் அழைக்கப்படுகிறது.,idhu aagast puratchi endrum azhaikkappadugiradhu.,idhu august paratchi-nu sollappadudhu,idhu august paratchi-nu soluvaanga
This is considered the golden age of India.,இது இந்தியாவின் பொற்காலம் எனக் கருதப்படுகின்றது.,idhu indhiyaavin porkaalam enak karudhappadugindradhu.,idhu india-voda porkaalamnu karudhalaam,idhu india-voda porkaalamnu soluvaanga
The area is the place where tourists attract.,இப்பகுதியானது சுற்றுலாப் பயணிகளைக் கவரும் இடமாகும்.,ippagudhiyaanadhu chutrulaap payanigalaik kavarum idamaagum.,indha edam sutrulaa payaningale kavarndhu ilukkum,indha edam tourist-aa attract pannum
This helped to play the game fast.,இது விளையாட்டைத் துரிதமாக விளையாட உதவியது.,idhu vilaiyaattaith thuridhamaaga vilaiyaada udhaviyadhu.,idhu vilayaatte vegamaa vilaiyaada udhavichu,idhu vilayaatte fast-aa vilaiyaada udhavichu
99 percent of these people are Hindus.,இவ்வூர் மக்களில் 99 வீதமானோரும் இந்துக்கள்.,ivvoor makkalil 99 veedhamaanorum indhukkal.,indhooru makkalle 99 sathavieedham indukkal,indha oorule 99 percent hindu dhan
Pain is like an electrical vibration.,மின் அதிர்வுப் போல வலி இருக்கும்.,min adhirvup pola vali irukkum.,minathirchi maadhiri valikkum,shock-adikura maadhiri valikkum
All of these are very small.,இவை அனைத்தும் மிகவும் சிறிய அளவு கொண்டவை.,ivai anaithum migavum chiriya alavu kondavai.,idhu ellam romba sinna alavu irukku,idhu ellam romba sinna alavaa irukkum
There will be no statues here.,இங்கு எந்த வித சிலைகளும் இருக்காது.,ingu endha vidha chilaigalum irukkaadhu.,inge endha vidhamaana silaingalum irukkaadhu,inge endha vagai silaingalum irukkaadhu
The Rasaputra forces also retreated to the leaders.,இராசபுத்திரப் படைகளும் தலைவர்களுக்குக் கட்டுப்படாது பின்வாங்கி ஓடின.,iraasabuthirap padaigalum thalaivargalukkuk kattuppadaadhu pinvaangi odina.,raasabuthira padainga thalaivangalukku kattuppadaama bayandhu oodunaanga,raasabuthira padaiyum thalaivargaluku kattuppadaama bayandhu ooditanga
"There are 9,02,621 people living in Tamil Nadu.","அவர்களில் தமிழ்நாட்டில் 9,02,621 மக்கள் வசித்து வருகின்றனர்.","avargalil thamizhnaattil 9,02,621 makkal vasithu varugindranar.","avangalile thamizhnaatule 9,02,621 peru kudi irukkaanga","avangale thamizhnaatu 9,02,621 peru kudi irukkaangalam"
This is a great milestone in moon research.,இதுவே நிலா ஆராய்ச்சியில் மாபெரும் மைல்கல் ஆகும்.,idhuvae nilaa aaraaychiyil maaberum mailgal aagum.,idhudhaan chandiran araytchiyile periye vetri,idhu dhaan chandiran araytchiyile periye vetri
"Born in Jaffna, he is now living in London.",யாழ்ப்பாணத்தில் பிறந்த இவர் இப்பொழுது லண்டனில் வசித்துவருகிறார்.,yaazhppaanathil pirandha ivar ippozhudhu landanil vasithuvarugiraar.,yazhppaanaththule porandha ivaru ippo  londonle kudi irukkaar,yazhppaanaththule porandha ivaru ippo  londonle irukkaaruu
The decorative festival takes place for ten days in Panguni.,அலங்கார உற்சவம் பங்குனியில் பத்துத் நாட்களுக்கு நடைபெறுகின்றது.,alangaara urchavam panguniyil pathuth naatkalukku nadaiberugindradhu.,alangaara ursavam pangunile paththu naalukku nadakkum,alangaara ursavam pangunile paththu naalukku nadakkum
The Ravi River joins the Saling.,சையல் என்னுமிடத்தில் ராவி ஆறு இணைகிறது.,chaiyal ennumidathil raavi aaru inaigiradhu.,saiyal appadeengara idaththil  raavi aaru serudhu,saiyal appadeengara idaththile raavi aaru join aagudhu
"The temple is built using about 196,800 stones.","சுமார் 196,800 கற்கள் பயன்படுத்தி இக்கோயில் கட்டப்பட்டுள்ளது.","chumaar 196,800 karkal payanbaduthi ikkoyil kattappattulladhu.","yerakkuraiye 196,800 kallunga vachi indha koil kattappattadhu","kitta thatta 196,800 kallunga vachi indha koille kattunaga"
It pours out of the central mountain country.,இது மத்திய மலை நாட்டிலிருந்து ஊற்றெடுத்துப் பாய்கிறது.,idhu mathiya malai naattilirundhu ootreduthup paaygiradhu.,idhu pmaththiya malai naatulirundhu ooththeduththu paayum,idhu maththiya malai naatule irundhu ooththeduththu oodudhu
So Babu is very fond of the chief doctor.,அதனால் பாபுவை தலைமை மருத்துவருக்கு மிகவும் பிடிக்கும்.,adhanaal paabuvai thalaimai maruthuvarukku migavum pidikkum.,adhanaale babu-vai periye maruththuvarukku romba pidikkum,adhanaale babu-vai periye doctor-kku romba pidikkum
The division covers an area of ​​148 square kilometers.,இப்பிரிவு 148 சதுர கிலோமீட்டர் பரப்பளவு கொண்டது.,ippirivu 148 chadhura kilomeettar parappalavu kondadhu.,indhapirivi 148 sathura kilomeeter parappu aagum,indha paguthi148 square kilometer parappu irukkum
Some areas are eaten at night.,சில பகுதிகளில் இரவிலும் சோறு சாப்பிடுவது உண்டு.,chila pagudhigalil iravilum choru chaappiduvadhu undu.,sila edaththule raaththiriyum soru sappadaradhu undu,sila edaththule nightlayum sappadaradhu undu
"At the age of eight, he began to write poetry.",தனது எட்டாவது வயதிலேயே கவிதைகளை எழுதத் தொடங்கினார்.,thanadhu ettaavadhu vayadhilaeyae kavidhaigalai ezhudhath thodanginaar.,thannoda ettavadhu vayasiliyea kavithi ezhudha arambichchaar,avuroda ettu vayasiliyea kavithi ezhudha arambichchaaru
"These are prey, respectively.",இவை இரையைப் பிடித்துத் தின்னும் முறையே அலாதியானது.,ivai iraiyaip pidithuth thinnum muraiyae alaadhiyaanadhu.,idhunga eriaye pudichi thinnum vidhame suvaarisiya irukkum,idhunga aasalta eriaye pudichi thinnum
"""Sama"" is the added language of Japanese for respect.","""சாமா"" என்பது ஜப்பானிய மொழியில் மரியாதைக்காக சேர்க்கப்படுவது.","""chaamaa"" enbadhu jappaaniya mozhiyil mariyaadhaikkaaga chaerkkappaduvadhu.",saama appadeengaradhu japaniya mozhiyile mariyaadhaikkaga serkkaradhu,saama appadeena japan mozhiyile mariyaadhaikkaga-nu soldradhu
The capacity of the dam is 15.67 TMC.,இந்த அணையின் கொள்ளளவு 15.67 டி.எம்.சி ஆகும்.,indha anaiyin kollalavu 15.67 ti.em.chi aagum.,indha anai kollalavu 15.67 t.m.c,indha anaile neriya alavu 15.67 t.m.c
Elephants are leaflets or plant foods.,யானைகள் இலையுண்ணிகள் அல்லது தாவர உண்ணிகள் ஆகும்.,yaanaigal ilaiyunnigal alladhu thaavara unnigal aagum.,yaanainga elai illena sedinga saappudum,yaanai-lam elai illena sedingala saappudum
Actor Chiranjeevi thanked Vijay for this.,இதற்கு நடிகர் சிரஞ்சீவி விஜய்க்கு நன்றி தெரிவித்தார்.,idharku nadigar chiranjeevi vijaykku nandri therivithaar.,idhukku nadikar siranjeevi vijay-kku nandri sonnaar,idhukku actor siranjeevi vijay-kku nandri sonnaaruu
This name means white city.,இந்த பெயருக்கு வெள்ளை நகரம் என்று பொருள்.,indha peyarukku vellai nagaram endru porul.,indha perukku vellai nagaram appadeennu arththaam,indha perukku vellai nagaram-nu arththaam
It is a principle that is necessary to eradicate corruption.,ஒளிவின்மை ஊழலை ஒழிக்க அவசியமான கொள்கை ஆகும்.,olivinmai oozhalai ozhikka avasiyamaana kolgai aagum.,velippadaithanmai oozhalale ozhikke avasiyamaana kolgai,velippadaithanmai oozhalale ozhikke avasiyamaana kolgai
He banned slavery in his empire.,அவர் தம் பேரரசில் அடிமைத்தனத்திற்கு தடை விதித்தார்.,avar tham paerarasil adimaithanathirku thadai vidhithaar.,avaru thannoda peararasule adimaimoraiye thadai panninaar,avaru thannoda peararasule adimai moraiye thadai senjaaru
The temple can go to the temple.,தொலைவு மலை ஏறியே இக்கோயிலுக்கு செல்ல முடியும்.,tholaivu malai aeriyae ikkoyilukku chella mudiyum.,dhooramaa malai eriye indha koyilukku poga mudiyum,dhooramaa malai erunadhan indha koyilukku poga mudiyum
These are smaller than the wolves in the image.,உருவில் ஓநாய்களைக் காட்டிலும் இவை சிறியதாக இருக்கும்.,uruvil onaaygalaik kaattilum ivai chiriyadhaaga irukkum.,urvaththule onayai vida idu sinnadha irukkum,urvaththule onaaiya vida idhu sinnadha irukkum
The names of some people stand in the history of music.,சிலருடைய பெயர்கள் இசை வரலாற்றில் நின்று நிலைத்துள்ளன.,chilarudaiya peyargal isai varalaatril nindru nilaithullana.,silaroda peru isai varalarule nilaichchi irukku,silaroda peru isai varalarule nilaichchi irukku
19% of the South Indian states are poor.,தென்னிந்திய மாநிலங்களில் 19% பேர் ஏழைகளாக உள்ளனர்.,thennindhiya maanilangalil 19% paer aezhaigalaaga ullanar.,then india maanilingalile 19% peru ezhaikalaa irukkaanga,then indiale 19% peru ezhaikalaa irukkaanga
Murugan here is called Vijayvel Murugan.,இங்குள்ள முருகன் வெற்றிவேல் முருகன் என்று அழைக்கப்படுகிறார்.,ingulla murugan vetrivael murugan endru azhaikkappadugiraar.,ingirukkura murugan vetrivel murugan appadeennu solluvaanga,ingirukkura murugan-a vetrivel murugan nu solluvom
There are no more texts in the Tulu writing.,துளு எழுத்துமுறையில் அதிக அளவில் நூல்கள் இல்லை.,thulu ezhuthumuraiyil adhiga alavil noolgal illai.,thulu mozhiyile neraiye puththagangal ille,thulu mozhiyile neraiye puththagangalam ille
